proverb,meaning,used,index
een doos van Pandora zijn,"een bron van problemen, ellende, ziekte en misère zijn",,3343
met spek vangt men muizen,met veel vrijgevigheid kan men iedereen overhalen,,3344
in de contramine zijn,tegen alles in gaan of altijd iets anders willen dan anderen,,3345
geen been hebben om op te staan,geen enkele verantwoording kunnen geven,,3346
luchtkastelen bouwen,zich illusies maken,,3347
Zijn gat aan de poort vegen,Zich nergens zorgen om maken,,3348
in iemands zwak tasten,iemand op een gevoelige plek raken,,3349
ergens als kind in huis zijn,ergens bekend of goed behandeld worden,,3350
op zijn vet teren,leven van gespaard geld,,3351
zijn kruit verschoten hebben,"uitgeput zijn, niets meer kunnen doen",,3352
slecht gemutst zijn,een slecht humeur hebben,,3353
oogkleppen voorhebben,iets niet willen zien,,3354
wij kunnen niet allen paus van rome zijn,niet iedereen kan de baas zijn,,3355
iemand de zwartepiet toespelen.,iemand benadelen.,,3356
hij kan een potje bij hen breken.,van hem wordt veel getolereerd.,,3357
alles over de vloer halen,alles verplaatsen,,3358
groen zien van jaloezie,heel jaloers zijn,,3359
in rep en roer,in grote opschudding,,3360
met de grond gelijk maken,totaal vernietigen,,3361
dat ruikt naar peper,dat is erg duur,,3362
het niet kunnen gebeteren,het niet kunnen helpen,,3363
zo stom als een vis,iemand die geen woord zegt,,3364
je bedje is gespreid,je komt in een situatie terecht waarin alles al voor je geregeld is,,3365
wat de heren wijzen moeten de gekken prijzen,aan beslissingen van het hoger gezag moet men zich onderwerpen,,3366
de degens kruisen,de strijd aangaan,,3367
de spijker op de kop slaan,de kern van de zaak benoemen,,3368
goedkoop is duurkoop,"iets goedkoops kan later kosten veroorzaken, bijvoorbeeld door slechte werking, reparaties of onderhoud",,3369
dan moet de wal het schip maar keren,"als iemand niet vooraf rekening houdt met een naderend probleem, dan moet het probleem maar daadwerkelijk in volle omvang ontstaan, en dan alsnog worden opgelost",,3370
er een muisje van hebben horen piepen,er iets van gehoord hebben,,3371
in het niet zinken,in vergelijking met iets anders nog weinig waarde hebben,,3372
Voor God een baard van vlas maken,Schijnheilig zijn,,3373
in het gareel lopen (ook: in de pas lopen),precies zo doen als de anderen,,3374
iemand een kroon opzetten,iemand eer bewijzen,,3375
iemand zwart maken,lelijke dingen over iemand vertellen,,3376
je moet de huid niet verkopen voor de beer geschoten is.,men moet zich niet beroemen op zijn succes voor men het behaald heeft. / Je moet geen dingen toezeggen (beloven) die nog niet van jou zijn.,,3377
voor elke spijker een gat weten,voor elk probleem een oplossing weten,,3378
als de kat om de hete brij (draaien).,"een netelig vraagstuk vermijden, niet ter zake komen",,3379
lange vingers hebben,veelvuldig stelen,,3380
hij is lelijk ten haring gevaren,hij heeft zwaar pech gehad,,3381
een sigaar uit eigen doos presenteren.,iemand iets aanbieden dat in feite door de ontvanger zelf is betaald.,,3382
wie hoog klimt kan laag vallen.,belangrijke zaken snel kwijt raken door kleine dingen,,3383
van zijn à propos,"buiten bewustzijn, groggy",,3384
gewicht hechten aan,belang hechten aan,,3385
de koninklijke weg bewandelen,eerlijk zijn,,3386
"wie zwijgt, stemt toe","als je het ergens niet mee eens bent, moet je het zeggen",,3387
altijd de kwade pier zijn,altijd als de schuldige aangewezen worden,,3388
conditio sine qua non,een onvermijdelijke voorwaarde,,3389
dat is een ver-van-mijn-bed-show,dat is iets waar ik me helemaal niet mee bezighoud; dat is iets dat op grote afstand van hier gebeurt,,3390
het kruit niet uitgevonden hebben,niet bijster slim zijn,,3391
elk ziet door zijn eigen bril,ieder ziet het op zijn eigen manier,,3392
Wie vuur eet schijt vonken,Als men iets gevaarlijks onderneemt krijgt men nare gevolgen,,3393
de economie zit in de lift,de economie groeit,,3394
het is kermis in de hel,het regent terwijl de zon schijnt,,3395
dank je de koekoek,mij niet gezien!,,3396
totus tuus,geheel de uwe,,3397
iemand de ogen uitsteken,"iemand jaloers maken door de aandacht te vestigen op iets wat men heeft, en wat de ander ontbreekt.",,3398
iemand naar de ogen zien,trachten zijn wensen te raden,,3399
de bot kunnen gallen,een moeilijke taak aankunnen,,3400
hij stond erbij voor Jan met de korte achternaam,hij had geen zinvolle activiteit,,3401
een heet hangijzer,een moeilijk onderwerp waar veel discussie over bestaat,,3402
dat is opgelegd pandoer,een duidelijke van te voren afgesproken zaak,,3403
hoogmoed komt voor de val,"iemand die erg trots is of hoogmoedig, krijgt gauw de bijbehorende ellende",,3404
oude koeien uit de sloot halen,oude geschiedenissen terug ten tonele voeren,,3405
Bij gebrek aan brood eet men korstjes van pasteien.,Bij gemis aan het gewone moet men zijn toevlucht soms wel tot iets duurders nemen.,,3406
voorbij de schout zijn deur mogen dragen,wel gezien mogen worden,,3407
oog om oog en tand om tand.,"wraak nemen voor onrecht dat je is aangedaan, door de dader precies hetzelfde aan te doen.",,3408
een aal bij de staart hebben,zich met iets 'ongrijpbaars' bezig houden,,3409
in de roos schieten,het precies goed raden/doen,,3410
honoris causa,eershalve,,3411
"waar de boom gevallen is, blijft hij liggen.",gedane zaken nemen geen keer.,,3412
ieder huisje heeft zijn kruisje.,er mankeert overal wel iets.,,3413
niet wel bij het hoofd,gek,,3414
een ridder zonder vrees of blaam,een moedig mens,,3415
zijn eigen glazen ingooien,het voor zichzelf bederven,,3416
de vaan van de opstand planten,'n opstand verwekken,,3417
visserslatijn,grootspraak.,,3418
de laatste der Mohikanen zijn,de laatste zijn die nog ergens in gelooft,,3419
boven zijn theewater,dronken,,3420
maart heeft knepen in zijn staart,weerspreuk,,3421
heb je het ooit zo zout gegeten,heb je het ooit zo straf meegemaakt,,3422
ergens niet om malen,iets onbelangrijk vinden,,3423
als een spin in het web,de persoon of organisatie waar alles om draait,,3424
zijn kat sturen.,niet komen opdagen.,,3425
in het gareel slaan,aan het werk zetten,,3426
voor anker gaan,ergens gaan wonen en langer verblijven,,3427
geen aarde aan de dijk zetten,niet helpen,,3428
het niet meer hebben,totaal in verwarring geraken - van de kook zijn,,3429
over de doden niets dan goeds.,"men ziet kwaadspreken over overledenen als iets heel onbeleefd, er mag niet gespot worden met de dood.",,3430
geen twee missen voor hetzelfde geld doen,niet tweemaal hetzelfde zeggen of doen,,3431
elke zot heeft zijn eigen marot,iedereen heeft ook minder goede eigenschappen,,3432
er is geen ijs of het kost mensenvleis,"als er ijs op de sloten en vijvers ligt, verdrinken er altijd mensen",,3433
Een oorblazer,Een kwaadspreker,,3434
ook van de mosterd eten,veel geld aan iets verliezen,,3435
dat is andere tabak,"dat is wat anders, dat is moeilijker",,3436
zijn draai vinden,zijn plekje vinden,,3437
zich laten kennen,het (al te vroeg) opgeven,,3438
op de kloosters reizen,altijd bij vrienden of kennissen logeren,,3439
het kan niet altijd kaviaar zijn,niet elke dag is een topdag,,3440
quod est,wat wil zeggen,,3441
op zijn neus kijken,teleurgesteld zijn,,3442
een veeg uit de pan krijgen,een klap incasseren / op zijn donder krijgen / een standje krijgen,,3443
buiten westen,bewusteloos,,3444
tot op de draad versleten,helemaal versleten,,3445
door de mazen van het net glippen/kruipen,op het nippertje ontsnappen,,3446
er zijn maal wel mee kunnen doen,er wel mee toekomen,,3447
gebraden duiven vliegen niemand in de mond,je krijgt niets zomaar (zonder er enige moeite voor te doen),,3448
de hoofdvogel schieten,"een hoofdprijs winnen, maar vaak ironisch bedoeld. Letterlijk: de hoofdvogel is de hoofdprijs bij het vogelschieten",,3449
"twee zielen, één gedachte",twee mensen die op hetzelfde moment hetzelfde idee hebben,,3450
andermans boeken zijn duister te lezen,de toestand of bedoelingen van een ander zijn moeilijk in te schatten,,3451
te lui om uit zijn ogen te zien,erg lui,,3452
een mens lijdt dikwijls het meest door het lijden dat hij vreest.,"(doch dat nooit op zal dagen. Zo heeft men meer te dragen, dan God te dragen geeft. Nic. Beets)",,3453
er een potje van maken,er een janboel van maken,,3454
de klad zit er in.,het gaat niet goed.,,3455
het was een eitje.,het was heel gemakkelijk.,,3456
een dikke huid hebben,veel kunnen verdragen,,3457
liefde is blind,door verliefdheid de gebreken van een ander niet zien,,3458
het laat mij Siberisch koud,het interesseert me totaal niet,,3459
luisteren naar groeien van het gras,erg lui zijn,,3460
iemand door de mosterd halen,op duidelijke wijze kenbaar maken wat iemand fout gedaan heeft,,3461
zonder aanzien des persoons,zonder iemand voor te trekken; zonder er rekening mee te houden om wie het gaat,,3462
het hemd is nader dan de rok,eigen familie gaat voor,,3463
iemand de rekening presenteren,iemand de kosten ten laste brengen (ook figuurlijk),,3464
als `t schip zinkt dan zinkt ook de lading,"als een zaak bankroet gaat, dan is men meestal ook alles kwijt",,3465
het licht doen zien,publiceren,,3466
hij kan goed zijn mondje roeren,hij zorgt er goed voor dat zijn mening wordt gehoord,,3467
ergens een handje van hebben,"hinderlijke gewoonte, als iemand de kans ergens toe ziet die ook nemen, een ander het werk laten doen",,3468
"wie het kleine niet eert, is het grote niet weerd",je moet waardering hebben voor het geringe,,3469
weten van kikken noch mikken,nergens van weten,,3470
iemand naar de barbiesjes wensen,iemand verwensen,,3471
de schapen van de bokken scheiden,het goede van het slechte scheiden,,3472
de kuierlatten nemen,te voet gaan,,3473
een sigaar uit eigen doos presenteren,iemand iets aanbieden dat in feite door de ontvanger zelf is betaald,,3474
Hij is van zijn paard gevallen. ,Hij heeft zijn positie verloren,,3475
op zijn baadje krijgen,een pak slagen krijgen,,3476
een ridder van de droevige figuur,een sufferd,,3477
primus inter pares,de beste onder zijns gelijken,,3478
"meisjes die bloemen dragen, mag je kussen zonder te vragen",een aanmoediging om meisjes met bloemen te kussen,,3479
aan zijn gerief komen,vinden wat men nodig heeft (inz. seksuele behoeften),,3480
de jongste schepen wijst het vonnis,de kinderen willen het het best weten,,3481
leentjebuur spelen,iets lenen,,3482
bokkensprongen maken,van het een op het ander springen - zotte sprongen maken,,3483
het zal me worst zijn/wezen.,het maakt voor mij geen enkel verschil.,,3484
in de schoot werpen,zonder enige moeite geven,,3485
het mes snijdt aan twee kanten.,"het levert dubbel voordeel op. (NL) Er zijn niet alleen voordelen aan verbonden, je kan eender wat vanuit verschillende en zelfs tegengestelde standpunten bekijken (BE)",,3486
zijn hoed zit altijd op zijn hoofd.,hij groet nooit iemand.,,3487
elk is een dief in zijn nering,ieder zoekt zijn voordeel,,3488
gekke Henkie,iemand die niets in de gaten heeft (bv. `Je denkt toch niet dat ik gekke Henkie ben ?`),,3489
lekker is maar één vinger lang.,oppervlakkige genoegens geven ook maar een betrekkelijke voldoening. / leuke dingen duren meestal maar erg kort,,3490
haardje bij schuurtje,erg klein,,3491
je kop houden.,"stil zijn, niet praten.",,3492
iemand te grazen nemen,"iemand een gemene streek leveren, op gemene manier er tussen nemen",,3493
een Uriasbrief,een brief waarin een verschrikkelijk bericht staat,,3494
met open vizier,met eerlijke middelen,,3495
geen turf hoog zijn,"erg klein zijn, erg teleurgesteld zijn",,3496
zijn zegel aan iets hechten,goedkeuring of toestemming ergens aan geven,,3497
zo klaar als een klontje voor iemand zijn,het helemaal begrijpen,,3498
iemand een grote neep geven,iemand ernstig afbreuk doen,,3499
een streep door de rekening halen,de schuld van iemand kwijtschelden en het er niet meer over hebben,,3500
Dat is een paard van een daalder. ,Dat is een trots mens,,3501
je kan het dak op,jouw wens wordt niet gehonoreerd,,3502
een ongeluk komt te paard en gaat te voet,"een ongeluk is snel gebeurd, maar de gevolgen slepen lang aan",,3503
ergens heet noch koud van worden,zich nergens iets van aantrekken,,3504
De bijl naar de steel werpen,Iets geheel opgeven,,3505
Die werkt als een paard zal haver eten. ,Hard werken is voor de meeste mensen geen garantie op een goed inkomen,,3506
een krop opzetten,een hoge borst opzetten - een fiere houding aannemen,,3507
dat is Beulemans Frans,dat is slecht Frans spreken. In België zeggen de Vlamingen dat over Waals. Walloniërs op hun beurt vinden Vlaams weer slecht Nederlands,,3508
zelfs de beste breister laat wel eens een steekje vallen,"ook al kan iemand iets heel goed, hij of zij zal ook wel eens een fout maken; dat is vergeeflijk",,3509
Het is maar hoe de kaarten vallen,Het hangt van het lot af,,3510
een stuip krijgen van het lachen,schaterlachen,,3511
iemand onder handen nemen,iemand flink aanpakken / mishandelen,,3512
een zware pijp roken,door eigen schuld in moeilijkheden komen,,3513
bij de buren is het gras altijd groener.,bij anderen lijkt het altijd beter (omdat men daar de interne problemen niet van kent).,,3514
voor geld kun je de duivel doen dansen.,met geld kun je alles gedaan krijgen.,,3515
iemand een koud bad geven,"iemand kalmeren , illusies ontnemen",,3516
stoom afblazen,vertellen wat je sterk bezighoudt en opwindt,,3517
zoden aan de dijk zetten.,daadwerkelijk hulp verschaffen.,,3518
in de kortste keren,"heel snel, bijna onmiddellijk",,3519
niet graag in iemand schoenen staan,niet graag willen ervaren hoe het is iemand anders te zijn die in een moeilijke of onprettige situatie zich bevindt,,3520
met de vinger nawijzen,iemand uitgelachen,,3521
Het hinkende paard komt er achteraan. ,De bezwaren komen achterop. Na blijdschap volgt iets minder aangenaams,,3522
een gek en zijn geld blijven nooit lang bij elkaar,geld uitgeven aan nutteloze en onnodige dingen,,3523
iemand uit bed lichten,iemand 's nachts laten opstaan,,3524
de vuurproef doorstaan,slagen in de moeilijke onderneming,,3525
op gespannen voet (zijn),"moeilijk met elkaar omgaan, ruzie",,3526
het geld groeit niet op de rug,"geld komt niet zomaar binnen, er moet hard voor gewerkt worden",,3527
tussen hamer en aanbeeld,tussen twee slechte dingen moeten kiezen,,3528
de zondebok zijn,ergens de schuld van krijgen,,3529
een verborgen agenda hebben.,"een doel hebben dat voor de anderen verborgen gehouden wordt, bijvoorbeeld in een samenwerkingsverband.",,3530
op iemand staat kunnen maken,op iemand kunnen vertrouwen/rekenen,,3531
dat is andere koek,dat is heel iets anders,,3532
kaf onder het koren,het minder goede onder het goede,,3533
Tot de tanden bewapend,Zwaar bewapend,,3534
hij ligt er bij als een blei,hij beweegt niet (meer),,3535
borgen is geen kwijtschelden,uitstel is geen afstel,,3536
overdag hebben waar men 's nachts van droomt,alles zomaar in de schoot geworpen krijgen,,3537
er geen spaan van heel laten,iets compleet vernielen,,3538
men wordt wel door een mestkar maar niet door een rijtuig overreden,goed opgevoede mensen beledigen anderen minder,,3539
de vlag voor iemand strijken,"voor iemand onderdoen, zijn meerdere erkennen",,3540
met lood in de schoenen,met heel veel tegenzin of angst ,,3541
een goed woord voor iemand doen,iemand bij een ander aanbevelen,,3542
tussen hoop en vrees zweven,"hopen dat het goed gaat, maar tegelijkertijd vrezen dat het mis gaat",,3543
geluk bij een ongeluk,"terwijl iets mis gaat, gaat iets anders goed",,3544
het wiel opnieuw uitvinden,dubbel werk doen.,,3545
hij zal dat hooi wel op zijn gaffel krijgen,dat lukt hem wel,,3546
"zolang er leven is, is er hoop.","er is altijd hoop, dus geef nooit op!",,3547
"wat van ver komt, is lekker.","iets wat van ver komt, is bijzonder. Daarom denkt men dat het ook beter zal zijn.",,3548
over smaak valt niet te twisten.,over verschil in smaak moet men geen ruzie maken.,,3549
van heinde en verre,"van alle kanten, vanuit alle landen",,3550
er zijn haaien/kapers op de kust,er zijn er die willen meeprofiteren,,3551
iets aan het licht brengen,iets bekend maken wat verborgen is,,3552
het zijn niet de slechtste vruchten waaraan de wespen knagen.,over de goede mensen worden vaak onaardige dingen verteld,,3553
de auto is voor velen een heilige koe.,"iets heiligs, waar je niet aan mag komen.",,3554
dat is een kwal,een uiterst vervelend persoon,,3555
In iemands huid kruipen,zich in een ander verplaatsen,,3556
er uitzien als de dood van Ieper,er slecht uitzien,,3557
iemand een poot uitdraaien,iemand te veel laten betalen,,3558
"eind goed, al goed",de tegenslagen zijn gauw vergeten als het goed afloopt,,3559
chapeau bas spelen,onderdanig zijn,,3560
het is er zo veilig als vlees in een hondekot,het is er volkomen onveilig,,3561
met hart en ziel,met plezier en passie,,3562
van iets zoveel verstand hebben als een koe van saffraan eten,ergens geen verstand van hebben,,3563
zijn hart vasthouden,zich ernstig zorgen maken. Bang zijn dat het mis gaat.,,3564
iets in goede banen leiden.,ervoor zorgen dat iets goed verloopt.,,3565
"wanneer de boeren niet meer klagen, nadert het einde der dagen",boeren klagen altijd,,3566
"verbaas u niet, verwonder u slechts.",letterlijk,,3567
wet van Meden en Perzen,"een onwrikbare gewoonte, die altijd gevolgd wordt / Een samenhang die zich altijd voordoet.",,3568
met geen pen te beschrijven zijn,iets niet met woorden kunnen zeggen,,3569
hij kan goed zijn mondje roeren.,hij zorgt er goed voor dat zijn mening wordt gehoord.,,3570
ergens over vallen,zich een probleem aantrekken,,3571
de een z'n dood is een ander z'n brood.,"wat voor de één een nadeel is, daar profiteert een ander van",,3572
een dubbeltje op zijn kant,iets dat maar op het nippertje goed gaat,,3573
tegen heug en meug,met tegenzin doen,,3574
oefening baart kunst,door veel te oefenen verbeteren de prestaties,,3575
Hij heeft de meeste aardappelen al gegeten,"Hij heeft al veel meegemaakt, hij leeft al lang",,3576
een zilveren dak op het huis hebben,wonen in een huis dat gebouwd is met geleend geld,,3577
vechten tegen de bierkaai,een gevecht aangaan dat al bij voorbaat verloren is,,3578
"Je mag wel alles eten, maar niet alles weten.",Ik hoef je niet alles te vertellen.,,3579
te wensen overlaten,niet geheel voldoen,,3580
ergens prat op gaan,erg trots over iets zijn en er over opscheppen,,3581
vel over been zijn,erg mager zijn,,3582
dat zit wel snor,dat komt wel goed,,3583
tussen de regels door lezen,de diepere betekenis van een tekst begrijpen,,3584
met de vossenstaart geselen,zacht straffen,,3585
de pen is machtiger dan het zwaard,woorden kunnen meer teweeg brengen dan wapens,,3586
helse machine,bom,,3587
het zal me worst zijn/wezen,het maakt voor mij geen enkel verschil,,3588
zijn licht niet onder de korenmaat zetten,"meespreken, je mening geven en laten merken dat je er iets van weet",,3589
de laatste loodjes wegen het zwaarst,het afwerken is vaak het lastigst,,3590
uit de staatsruif eten,van de bijstand leven,,3591
een beer op sokken.,een goedzak.,,3592
hij lacht als een boer die kiespijn heeft.,"hij lacht, maar het is zichtbaar dat hij niet echt blij is.",,3593
het kwaad straft zichzelf,"wie kwaad doet, kwaad ontmoet",,3594
Eten en drinken houdt lijf en ziel bijeen.,Eten en drinken blijven levensbehoeften.,,3595
met Sint Juttemis als de kalveren op het ijs dansen,"nooit (Sint Juttemis valt op 17 augustus, en dan ligt er geen ijs)",,3596
op zijn luimen/luipen,op de loer,,3597
dat is een echte haai,assertief en bijdehand mens,,3598
een kinderhand is gauw gevuld,met een kleinigheid tevreden zijn,,3599
daar is een haartje in de boter,daar is ruzie of wrijving,,3600
er is niets nieuws onder de zon,alles is al eerder vertoond,,3601
met de deur in huis vallen,meteen ter zake komen / onmiddelijk over datgene beginnen waarvoor men kwam zonder,,3602
het zout in de pap niet waard zijn.,niets presteren.,,3603
al zouden de raven het uitbrengen,ooit wordt de zaak bekend,,3604
er zijn geen rozen zonder doornen.,bij elk geluk is er ook verdriet.,,3605
op de rooi af,op goed geluk geschat,,3606
om de kracht van het anker te voelen moet men de storm trotseren,"pas als men iets ernstig meemaakt, weet men op wie men kan vertrouwen",,3607
onder het juk moeten doorgaan,zich aan andermans macht moeten onderwerpen,,3608
voor iemand kruipen,"van iemand schrik hebben , slaafs alles doen wat hij vraagt",,3609
Dat groeit uit het raam,Dat kan men niet geheim houden,,3610
de berg heeft een muis gebaard,ondanks de grote beloften is er vrijwel niets van terecht gekomen,,3611
niet pluis zijn,iets is er niet in orde,,3612
iets in het oor knopen,iets goed onthouden,,3613
iets met de moedermelk binnenkrijgen,iets leren in de eerste levensjaren,,3614
in een moeilijk parket zitten,moeilijkheden hebben,,3615
"zo gewonnen, zo geronnen","wat je makkelijk hebt gewonnen, kun je ook makkelijk weer kwijt raken",,3616
een zeperd halen.,afgaan.,,3617
er over oordelen als een blinde over de kleuren,erover oordelen zonder kennis van zaken,,3618
het hoofd laten hangen,treurig zijn - het opgeven,,3619
het ene gat met het andere stoppen,het slecht beheren van geld door met de ene schuld de andere af te lossen,,3620
De druk is van ketel.,de grootste spanning is voorbij,,3621
de lier aan de wilgen hangen,zijn bezigheden stopzetten,,3622
als klap op de vuurpijl,een verrassing,,3623
om den brode doen,alleen werken voor het geld en niet omdat het werk fijn/leuk is,,3624
in nomine dei,in de naam van God,,3625
een aardje naar zijn vaartje hebben,qua karakter op zijn vader lijken,,3626
in geen twee sloten tegelijk lopen,voorzichtigi zijn en op zichzelf kunnen passen,,3627
zich een hoedje schrikken,zich enorm schrikken,,3628
in het krijt staan,schuld hebben,,3629
spijt hebben als haren op zijn hoofd,erg veel spijt hebben,,3630
de vrucht der ervaring rijpt niet aan jonge takken.,de verstandigste opmerkingen komen van oudere mensen.,,3631
in het land der levenden,"op aarde, voor de dood",,3632
iemands levensdraad afsnijden,doden,,3633
een storm in een glas water.,jezelf druk maken om (bijna) niets.,,3634
het beste paard van stal zijn,de geliefste en beste zijn in een gezelschap,,3635
uit zijn as herrijzen,opnieuw opgebouwd zijn na een brand,,3636
de tijd aan zich hebben,weinig of niets te doen hebben,,3637
daar helpt geen lievemoederen/moedertjelief aan.,"niets helpt, ook vriendelijke woorden niet",,3638
aan iemands voeten liggen,"iemand vereren, een absolute fan van iemand zijn.",,3639
op rozen zitten,erg gelukkig zijn en goed hebben,,3640
mijn vingers jeuken,ik heb zin om eraan te beginnen,,3641
vroeg uit de veren zijn,vroeg opstaan,,3642
de bui afwachten,rustig afwachten wat voor onheil er komt,,3643
niet over rozen gaan,er zijn nogal wat moeilijkheden,,3644
Eten en drinken is geen beroep / ambacht.,Werken is noodzakelijk om te kunnen leven.,,3645
een achterdeurtje,een manier om iets te ontduiken,,3646
niet aan zijn trekken komen,niet krijgen wat men wil,,3647
zich aan een ander spiegelen,zich vergelijken met een ander,,3648
voor de deur staan,"ieder ogenblik kunnen beginnen, komen",,3649
hij zou een oortje in vieren bijten,hij is erg gierig,,3650
geen slapende honden wakker maken,"beter niet over een bepaald onderwerp beginnen / aan mensen die ergens niets van weten en het er wellicht niet mee eens zijn, niets erover vertellen",,3651
men moet van zijn kantje blijven,"men mag hem niet aanraken, hij is niet aanspreekbaar",,3652
bij schering en inslag gebeuren,erg vaak gebeuren,,3653
iemands hete adem in je nek voelen,merken dat een ander je bijna inhaalt; opgejut of opgejaagd worden,,3654
Er zit een schroefje bij hem los,hij is niet helemaal goed wijs,,3655
om hals brengen,iemand doden,,3656
over koetjes en kalfjes praten,over allerlei onbelangrijke dingen praten,,3657
het interesseert me geen drol,het interesseert me niets,,3658
een (modder)figuur slaan,een belachelijke of domme indruk maken,,3659
de kat uit de boom kijken,een afwachtende houding aannemen,,3660
met los kruit schieten,schijnbaar streng straffen met een straf die in feite geen nadeel oplevert,,3661
een tukje doen,een kort middagslaapje,,3662
een ongeluk komt zelden/nooit alleen,"als er iets misgaat, gaat er vaak nog meer mis",,3663
geen hart in het lijf hebben,geen greintje medelijden kennen,,3664
iets op het hart hebben,iets te vertellen hebben,,3665
Men kan beter naar de bakker dan naar de apotheker gaan.,"Eten is gezond, de apotheker bezoek je als je ziek bent.",,3666
er is onkruid onder de tarwe,er zijn minderwaardige goederen (of personen) tussen de betere,,3667
het laatste woord willen hebben,de baas willen zijn,,3668
iemand aan de dijk zetten,iemand ontslaan,,3669
schitteren door afwezigheid,"ergens niet aanwezig zijn, terwijl je komst wel verwacht werd",,3670
geen maat weten te houden,onbeheerst doorgaan waarmee men begonnen is,,3671
Zij hangt haar man de blauwe huik om,Zij bedriegt haar man,,3672
"die het breed heeft, laat het breed hangen",als iemand veel geld heeft kan die veel bezitten,,3673
olie in/op het vuur gooien,iets doen waardoor de ruzie opnieuw begint of oplaait,,3674
we zullen ze eens een poepie laten ruiken,we zullen iets doen dat hen zal verbluffen (vooral toegepast in situaties waar sprake is van competitie),,3675
de rollen omkeren,wat de een normaal doet doet de ander nu en andersom,,3676
een boterham met tevredenheid,een (droge) boterham (zonder beleg),,3677
iemand na-apen,iemand na doen.,,3678
door de kluisgaten aan boord gekomen zijn,bevelhebber worden na het doorlopen van alle lagere rangen,,3679
op iemands tenen trappen,iemand beledigen,,3680
iets uit de eerste hand hebben,ergens zelf bij zijn geweest of hebben gehoord van iemand die het zelf heeft meegemaakt,,3681
op díe fiets,op die manier,,3682
zijn planeet lezen,de toekomst voorspellen,,3683
Met beslagen paarden op het ijs komen. ,Goed voorbereid zijn voor zijn taak,,3684
op de klippen lopen,mislukken,,3685
tot in lengte van dagen,tot het einde der tijden,,3686
met beide handen toegrijpen,met graagte aanvaarden,,3687
men kan wel dansen al is het niet met de bruid,men kan ook wel tevreden zijn met iets minder dan het beste,,3688
Gauw op het paard zitten. ,Snel driftig worden,,3689
De ene bedelaar ziet de andere niet graag voor de deur staan,Men is bang voor concurrentie,,3690
de kop van jut,"het slachtoffer, het zwarte schaap",,3691
mettertijd komt Hannes in het wammes,met veel geduld lukt het wel,,3692
alles malletje naar malletje doen/maken,alles steeds weer op precies dezelfde manier doen,,3693
op de vingers kijken,"(Op een vervelende manier) scherp toezien hoe iemand iets doet, zodat elke fout direct opgemerkt wordt.",,3694
dat zijn ze niet die 't wilhelmus blazen,dat zijn onze vrienden niet,,3695
er de kantjes aflopen,erg oppervlakkig blijven,,3696
de lijdensbeker tot de bodem ledigen,"al het slechte, tot het laatste toe, over zich heen krijgen",,3697
de handen van iemand aftrekken,iemand niet langer steunen,,3698
oude paarden jaagt men aan de dijk,"als men zijn taak niet goed meer aankan, wordt men ontslagen",,3699
Vlugge eters zijn vlugge werkers.,"Wie snel kan eten, kan ook snel werken.",,3700
woorden zijn geen oorden,met praten bereiken we niets,,3701
aan mijn nooit niet,geen sprake van,,3702
uit zijn tent lokken,uitlokken - doen praten,,3703
dat is naatje/pet.,dat is waardeloos.,,3704
het in de gorten laten lopen,het in het honderd sturen,,3705
te diep in het glaasje kijken,te veel alcohol drinken en daardoor erg dronken zijn,,3706
geen spier vertrekken,zonder enige emotie over zich heen laten gaan,,3707
hij is zo gesloten als een oester,hij doet zijn mond niet open en kan een geheim bewaren,,3708
aan de bel trekken.,duidelijk maken dat er iets aan de hand is; duidelijk maken dat er iets niet klopt.,,3709
uit de oude doos,"al oud, nostalgisch",,3710
horen zien en zwijgen,"wel waarnemen, maar er verder niets van zeggen",,3711
dat is mosterd na de maaltijd.,betreft een opmerking die te laat gemaakt is,,3712
pal staan,onbeweeglijk stilstaan / niet twijfelen aan de eigen mening,,3713
kletskoek.,onzin.,,3714
te hoop lopen,in opstand komen,,3715
de tanden laten zien,zich heel erg fel verdedigen,,3716
zijn laatste troef uitspelen,het laatste wat iemand achter de hand had naar buiten brengen,,3717
op je bek gaan,een grote fout maken; afgaan,,3718
"ruwe bolster, blanke pit","ziet er sterk uit, maar heeft een goed hart",,3719
iemand de kroon van het hoofd nemen,iemand te schande maken,,3720
een slimme vogel,een handig persoon met overal een oplossing voor,,3721
ergens geen gat in zien,er geen oplossing meer voor zien,,3722
het kan vriezen en het kan dooien,het kan alle kanten uit gaan,,3723
ogen op steeltjes hebben,erg verbaasd zijn,,3724
het komt voor de bakker,het komt in orde; het wordt geregeld,,3725
geen rook zonder vuur,er wordt niet over gepraat of er is wel iets van waar,,3726
water in zee dragen / Water naar de zee dragen,iets doen wat totaal zinloos is / iets overbodigs doen,,3727
voor heter vuren gestaan hebben,al groter problemen gekend hebben,,3728
zij hielden het onder de pet.,zij brachten het niet in de openbaarheid.,,3729
hoe later op de avond/dag hoe schoner volk,schertsend gezegd bij het laat binnenkomen van vrienden of familie,,3730
niets nieuws onder de zon ,"het lijkt nieuwe informatie, maar is al eerder gezegd",,3731
in concreto,in werkelijkheid,,3732
een onbeschreven blad zijn,nauwelijks bekend zijn,,3733
iemand iets betaald zetten,wraak nemen of straffen,,3734
het varkentje wassen,een klusje wel even doen,,3735
geen klaviertje over slaan,alle bijzonderheden in acht nemen,,3736
er is geen doorkomen aan,je geraakt er niet door,,3737
